id,column1,column2,,,,,,,,,,,,,,,,,,,,,,,
1,"
<table style=""border: 3px double black; border-collapse: collapse; width: 70%; margin-bottom: 15px;"">
<tbody>
<tr>
</tr>
<tr>
<td style=""border: 1px solid black; padding: 8px; font-weight: bold; width: 10%;"">Question</td>
<td style=""border: 1px solid black; padding: 8px;"">Ground-glass appearance on HRCT is seen in which of the following conditions?</td>
</tr>
<tr>
<td style=""border: 1px solid black; padding: 8px; font-weight: bold; width: 10%;""> A </td>
<td style=""border: 1px solid black; padding: 8px;"">Asbestosis</td>
</tr>
<tr>
<td style=""border: 1px solid black; padding: 8px; font-weight: bold; width: 10%;""> B </td>
<td style=""border: 1px solid black; padding: 8px;"">Silicosis</td>
</tr>
<tr>
<td style=""border: 1px solid black; padding: 8px; font-weight: bold; width: 10%;""> C </td>
<td style=""border: 1px solid black; padding: 8px;"">Anthracosis</td>
</tr>
<tr>
<td style=""border: 1px solid black; padding: 8px; font-weight: bold; width: 10%;""> D </td>
<td style=""border: 1px solid black; padding: 8px;"">Byssinosis</td>
</tr>
</tbody>
</table>","
<table style=""border: 3px double black; border-collapse: collapse; width: 100%; margin-bottom: 15px;"">
<tbody>
<tr>
<td style=""border: 1px solid black; padding: 8px; font-weight: bold; width: 20%;"">Answer</td>
<td style=""border: 1px solid black; padding: 8px;"">B</td>
</tr>
<tr>
<td style=""border: 1px solid black; padding: 8px; font-weight: bold; width: 20%;"">Explanation</td>
<td style=""border: 1px solid black; padding: 8px;"">Silicosis on HRCT shows a ground-glass appearance. Silicosis is due to the inhalation of crystalline silicon dioxide (silica) seen in individuals employed in sandblasting or rock mining. Macrophages phagocytose inhaled silica particles, thereby activating and releasing inflammatory mediators (IL-1, IL-8) that cause fibroblast recruitment. Microscopy reveals coalescent nodules of whorled collagen fibers surrounded by a peripheral zone of silica-laden macrophages. HRCT shows a ""crazy paving"" pattern due to interlobular septal thickening on the background of ground-glass opacity.</td>
</tr>
<tr>
<td style=""border: 1px solid black; padding: 8px; font-weight: bold; width: 20%;"">Explanation A</td>
<td style=""border: 1px solid black; padding: 8px;"">Asbestosis: X-ray shows peripheral reticular opacities predominantly in the lower zones. It predominantly affects the lower lobes of the lung, in contrast to other forms of pneumoconiosis, which affect the upper lobes.</td>
</tr>
<tr>
<td style=""border: 1px solid black; padding: 8px; font-weight: bold; width: 20%;"">Explanation B</td>
<td style=""border: 1px solid black; padding: 8px;"">N/A - This is the correct option. See 'Explanation' row.</td>
</tr>
<tr>
<td style=""border: 1px solid black; padding: 8px; font-weight: bold; width: 20%;"">Explanation C</td>
<td style=""border: 1px solid black; padding: 8px;"">Anthracosis/coal workers' pneumoconiosis: This is a pulmonary condition seen in coal miners. The inhaled carbon pigment is engulfed by alveolar or interstitial macrophages, which accumulate in the connective tissue. Initially, it causes simple coal workers pneumoconiosis with little or no pulmonary dysfunction. With continued exposure, lung tissue undergoes progressive massive fibrosis which is called complicated coal workers pneumoconiosis. The upper lobes of the lungs are commonly involved. Simple coal workers' pneumoconiosis appears as small round nodular opacities with an occasional appearance of reticular or reticulonodular opacities. Compared to silicosis, the nodules in CWP tend to have less well-defined margins and a more granular appearance.</td>
</tr>
<tr>
<td style=""border: 1px solid black; padding: 8px; font-weight: bold; width: 20%;"">Explanation D</td>
<td style=""border: 1px solid black; padding: 8px;"">Byssinosis: Caused by cotton dust, it can induce occupational asthma. It is characterized clinically by occasional (early-stage) and then regular (late-stage) chest tightness toward the end of the first day of the workweek - Monday chest tightness.</td>
</tr>
<tr>
<td style=""border: 1px solid black; padding: 8px; font-weight: bold; width: 20%;"">Additional</td>
<td style=""border: 1px solid black; padding: 8px;""><table style=""width:100%; border-collapse: collapse;""><tr><td style=""padding: 2px 5px; font-weight: bold;"">Reference Table: Some Common Pneumoconiosis</td></tr><tr><td style=""padding: 2px 5px; font-weight: bold;""><b>Mineral Dusts</b></td></tr><tr><td style=""padding: 2px 5px; font-weight: bold;"">- Coal dust: Anthracosis, Macules, Progressive massive fibrosis, Caplan syndrome (Exposure: Coal mining (particularly hard coal))</td></tr><tr><td style=""padding: 2px 5px; font-weight: bold;"">- Silica: Silicosis, Caplan syndrome (Exposure: Metal casting work, sandblasting, hard rock mining, stone cutting, others)</td></tr><tr><td style=""padding: 2px 5px; font-weight: bold;"">- Asbestos: Asbestosis, Pleural plaques, Caplan syndrome, Mesothelioma, Carcinoma of the lung, larynx, stomach, colon (Exposure: Mining, milling, manufacturing, and installation and removal of insulation)</td></tr><tr><td style=""padding: 2px 5px; font-weight: bold;"">- Beryllium: Acute berylliosis, Beryllium granulomatosis, Lung carcinoma (?) (Exposure: Mining, manufacturing)</td></tr><tr><td style=""padding: 2px 5px; font-weight: bold;"">- Iron oxide: Siderosis (Exposure: Welding)</td></tr><tr><td style=""padding: 2px 5px; font-weight: bold;"">- Barium sulfate: Baritosis (Exposure: Mining)</td></tr><tr><td style=""padding: 2px 5px; font-weight: bold;"">- Tin oxide: Stannosis (Exposure: Mining)</td></tr><tr><td style=""padding: 2px 5px; font-weight: bold;""><b>Organic Dusts</b></td></tr><tr><td style=""padding: 2px 5px; font-weight: bold;"">- Moldy hay: Farmer's lung (Exposure: Farming)</td></tr><tr><td style=""padding: 2px 5px; font-weight: bold;"">- Bagasse: Bagassosis (Exposure: Manufacturing wallboard, paper)</td></tr><tr><td style=""padding: 2px 5px; font-weight: bold;"">- Bird droppings: Bird-breeder's lung (Exposure: Bird handling)</td></tr><tr><td style=""padding: 2px 5px; font-weight: bold;"">- Cotton, flax, hemp: Byssinosis (Exposure: Textile manufacturing)</td></tr></table></td>
</tr>
</tbody>
</table>",,,,,,,,,,,,,,,,,,,,,,,
1,"
<table border=""1"" cellpadding=""5"">
<tbody>
<tr>
</tr>
<tr>
<td><strong>Question</strong></td>
<td>Ground-glass appearance on HRCT is seen in which of the following conditions?</strong></td>
</tr>
<tr>
<td><strong> A </strong></td>
<td>Asbestosis</strong></td>
</tr>
<tr>
<td><strong> B </strong></td>
<td>Silicosis</strong></td>
</tr>
<tr>
<td><strong> C </strong></td>
<td>Anthracosis</strong></td>
</tr>
<tr>
<td><strong> D </strong></td>
<td>Byssinosis</strong></td>
</tr>
</tbody>
</table>","
<table border=""1"" cellpadding=""5"">
<tbody>
<tr>
<td><strong>Answer</strong></td>
<td>B</strong></td>
</tr>
<tr>
<td><strong>Explanation</strong></td>
<td>Silicosis on HRCT shows a ground-glass appearance. Silicosis is due to the inhalation of crystalline silicon dioxide (silica) seen in individuals employed in sandblasting or rock mining. Macrophages phagocytose inhaled silica particles, thereby activating and releasing inflammatory mediators (IL-1, IL-8) that cause fibroblast recruitment. Microscopy reveals coalescent nodules of whorled collagen fibers surrounded by a peripheral zone of silica-laden macrophages. HRCT shows a ""crazy paving"" pattern due to interlobular septal thickening on the background of ground-glass opacity.</strong></td>
</tr>
<tr>
<td><strong>Explanation A</strong></td>
<td>Asbestosis: X-ray shows peripheral reticular opacities predominantly in the lower zones. It predominantly affects the lower lobes of the lung, in contrast to other forms of pneumoconiosis, which affect the upper lobes.</strong></td>
</tr>
<tr>
<td><strong>Explanation B</strong></td>
<td>N/A - This is the correct option. See 'Explanation' row.</strong></td>
</tr>
<tr>
<td><strong>Explanation C</strong></td>
<td>Anthracosis/coal workers' pneumoconiosis: This is a pulmonary condition seen in coal miners. The inhaled carbon pigment is engulfed by alveolar or interstitial macrophages, which accumulate in the connective tissue. Initially, it causes simple coal workers pneumoconiosis with little or no pulmonary dysfunction. With continued exposure, lung tissue undergoes progressive massive fibrosis which is called complicated coal workers pneumoconiosis. The upper lobes of the lungs are commonly involved. Simple coal workers' pneumoconiosis appears as small round nodular opacities with an occasional appearance of reticular or reticulonodular opacities. Compared to silicosis, the nodules in CWP tend to have less well-defined margins and a more granular appearance.</strong></td>
</tr>
<tr>
<td><strong>Explanation D</strong></td>
<td>Byssinosis: Caused by cotton dust, it can induce occupational asthma. It is characterized clinically by occasional (early-stage) and then regular (late-stage) chest tightness toward the end of the first day of the workweek - Monday chest tightness.</strong></td>
</tr>
<tr>
<td><strong>Additional</strong></td><td>Reference Table: Some Common Pneumoconiosis
<b>Mineral Dusts</b>
- Coal dust: Anthracosis, Macules, Progressive massive fibrosis, Caplan syndrome (Exposure: Coal mining (particularly hard coal))
- Silica: Silicosis, Caplan syndrome (Exposure: Metal casting work, sandblasting, hard rock mining, stone cutting, others)
- Asbestos: Asbestosis, Pleural plaques, Caplan syndrome, Mesothelioma, Carcinoma of the lung, larynx, stomach, colon (Exposure: Mining, milling, manufacturing, and installation and removal of insulation)
- Beryllium: Acute berylliosis, Beryllium granulomatosis, Lung carcinoma (?) (Exposure: Mining, manufacturing)
- Iron oxide: Siderosis (Exposure: Welding)
- Barium sulfate: Baritosis (Exposure: Mining)
- Tin oxide: Stannosis (Exposure: Mining)
<b>Organic Dusts</b>
- Moldy hay: Farmer's lung (Exposure: Farming)
- Bagasse: Bagassosis (Exposure: Manufacturing wallboard, paper)
- Bird droppings: Bird-breeder's lung (Exposure: Bird handling)
- Cotton, flax, hemp: Byssinosis (Exposure: Textile manufacturing)</strong></td>
</tr>
</tbody>
</table>",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
